first_name,last_name,team,number,position,age,born,birth_place,country,height,weight,shoots
Garrett,Horsager,Bentley Univ.,25,D,24,2002,"Rosemount, MN",USA,"6'0""",194,L
Tobias,Bjercke Larsen,Bentley Univ.,4,D,21,2004,Oslo,Norway,"6'2""",207,L
Pat,Lawn,Bentley Univ.,14,D,24,2001,"Waltham, MA",USA,"6'0""",179,R
Alec,Leonard,Bentley Univ.,7,D,21,2004,"Toronto, ON",Canada,"5'11""",174,R
Ryan,Nause,Bentley Univ.,27,D,24,2001,"Riverview, NB",Canada,"5'11""",181,L
Kolby,Amici,Bentley Univ.,26,F,23,2002,"Orchard Park, NY",USA,"5'9""",170,R
Oskar,Kind Bakkevig,Bentley Univ.,15,F,21,2004,Oslo,Norway,"5'11""",183,L
Jake,Black,Bentley Univ.,9,F,23,2002,"Pomfret, CT",USA,"5'11""",181,R
Stevie,Castagna,Bentley Univ.,17,F,24,2001,"North Vancouver, BC",Canada,"5'9""",170,L
Dylan,Cook,Bentley Univ.,5,F,22,2003,"Princeton, MN",USA,"6'0""",198,L
Chase,Davis,Bentley Univ.,22,F,23,2002,"Alpharetta, GA",USA,"6'5""",220,R
Jimmy,Doyle,Bentley Univ.,10,F,23,2002,"Plainfield, IL",USA,"6'2""",190,R
Jan,Gaspar,Bentley Univ.,20,F,21,2004,,Czechia,"5'10""",174,L
Owen,Goodbrand,Bentley Univ.,12,F,21,2004,"Waterdown, ON",Canada,"6'2""",181,L
Kellan,Hjartarson,Bentley Univ.,16,F,23,2003,"Calgary, AB",Canada,"5'11""",185,L
Peter,Kramer,Bentley Univ.,13,F,23,2002,"Bridgewater, MA",USA,"5'11""",183,L
Ryan,Mansfield,Bentley Univ.,11,F,23,2002,"Burlington, ON",Canada,"6'0""",194,L
Arlo,Merritt,Bentley Univ.,18,F,25,2001,"Halifax, NS",Canada,"6'3""",209,L
Michael,Mesic,Bentley Univ.,19,F,21,2004,"Fort Myers, FL",USA,"5'11""",179,L
Márton,Nemes,Bentley Univ.,23,F,20,2005,Székesfehérvár,Hungary,"6'2""",198,L
Oliver,Salo,Bentley Univ.,8,F,22,2003,Kaarina,Finland,"6'1""",190,R
Ryan,Upson,Bentley Univ.,38,F,24,2001,"West Vancouver, BC",Canada,"6'0""",185,L
Louka,Cloutier,Boston College,1,G,19,2006,"Sherbrooke, QC",Canada,"6'2""",172,L
Jan,Korec,Boston College,30,G,21,2004,Bratislava,Slovakia,"6'2""",205,L
Alex,Musielak,Boston College,31,G,22,2003,"Buffalo, NY",USA,"6'4""",196,L
Drew,Fortescue,Boston College,5,D,20,2005,"Pearl River, NY",USA,"6'2""",194,L
Lukas,Gustafsson,Boston College,8,D,23,2002,"Alpharetta, GA",USA,"5'11""",194,L
Michael,Hagens,Boston College,11,D,21,2005,"Hauppauge, NY",USA,"6'0""",198,L
Nolan,Joyce,Boston College,27,D,22,2003,"Dedham, MA",USA,"6'1""",194,R
Kristian,Kostadinski,Boston College,2,D,20,2005,Göteborg,Sweden,"6'6""",236,L
Aram,Minnetian,Boston College,17,D,20,2005,"Woodcliff Lake, NJ",USA,"6'0""",209,R
Luka,Radivojevic,Boston College,26,D,19,2007,"Edina, MN",Slovakia,"5'10""",181,R
Will,Skahan,Boston College,7,D,19,2006,"Orange, CA",USA,"6'5""",223,L
Brady,Berard,Boston College,19,F,22,2004,"East Greenwich, RI",USA,"6'1""",207,L
Ryan,Conmy,Boston College,36,F,21,2004,"Alexandria, VA",USA,"5'10""",185,R
Paul,Davey,Boston College,18,F,23,2003,"Greenwich, CT",USA,"6'1""",179,L
Tim,Delay,Boston College,28,F,22,2003,"Hingham, MA",USA,"6'1""",183,L
Andre,Gasseau,Boston College,24,F,22,2003,"Garden Grove, CA",USA,"6'4""",225,L
James,Hagens,Boston College,10,F,19,2006,"Hauppauge, NY",USA,"5'11""",194,L
Oscar,Hemming,Boston College,9,F,17,2008,Vaasa,Finland,"6'4""",198,L
Oskar,Jellvik,Boston College,15,F,23,2003,Täby,Sweden,"5'11""",185,L
Dean,Letourneau,Boston College,29,F,20,2006,"Braeside, ON",Canada,"6'7""",229,R
William,Moore,Boston College,40,F,18,2007,"Mississauga, ON",USA,"6'3""",185,L
Landan,Resendes,Boston College,14,F,20,2005,"Marlborough, MA",USA,"5'10""",183,R
Jake,Sondreal,Boston College,12,F,22,2004,"Woodbury, MN",USA,"6'0""",187,L
Teddy,Stiga,Boston College,4,F,19,2006,"Sudbury, MA",USA,"5'10""",179,L
Will,Traeger,Boston College,23,F,23,2002,"Mendota Heights, MN",USA,"5'7""",168,L
Will,Vote,Boston College,22,F,21,2005,"Arlington, MA",USA,"5'8""",161,R
Max,Lacroix,Boston Univ.,33,G,22,2003,"Castle Pines, CO",USA,"6'0""",181,L
Steven,Luciano,Boston Univ.,1,G,18,2007,"New Canaan, CT",USA,"6'1""",179,L
Jack,Perry,Boston Univ.,30,G,21,2004,"Waltham, MA",USA,,,L
Mikhail,Yegorov,Boston Univ.,40,G,19,2006,St. Petersburg,Russia,"6'5""",181,L
Sascha,Boumedienne,Boston Univ.,78,D,19,2007,Oulu,Sweden,"6'2""",190,L
Aiden,Celebrini,Boston Univ.,22,D,21,2004,"Vancouver, BC",Canada,"6'1""",194,R
Mick,Frechette,Boston Univ.,14,D,22,2003,"Weston, MA",USA,"6'2""",198,L
Cole,Hutson,Boston Univ.,44,D,19,2006,"North Barrington, IL",USA,"5'11""",172,L
Kyle,Kim,Boston Univ.,27,D,21,2005,Seoul,USA,"6'2""",187,R
Gavin,McCarthy,Boston Univ.,2,D,20,2005,"Clarence Center, NY",USA,"6'2""",187,R
Charlie,Trethewey,Boston Univ.,91,D,18,2007,"Ellicott City, MD",USA,"6'2""",201,R
Malte,Vass,Boston Univ.,57,D,18,2007,Karlstad,Sweden,"6'3""",194,L
Kamil,Bednarik,Boston Univ.,38,F,19,2006,"Elk Grove Village, IL",USA,"6'1""",187,L
Sacha,Boisvert,Boston Univ.,9,F,19,2006,"Trois-Rivières, QC",Canada,"6'3""",190,L
Cole,Eiserman,Boston Univ.,34,F,19,2006,"Newburyport, MA",USA,"6'0""",201,L
Jay,Feldberg,Boston Univ.,18,F,20,2006,"Toronto, ON",Canada,"6'0""",185,R
Conrad,Fondrk,Boston Univ.,16,F,18,2007,"St. Paul, MN",USA,"6'0""",203,L
Jack,Harvey,Boston Univ.,12,F,22,2003,"Stacy, MN",USA,"5'10""",176,L
Tynan,Lawrence,Boston Univ.,11,F,17,2008,"Fredericton, NB",Canada,"6'0""",185,L
Owen,McLaughlin,Boston Univ.,23,F,22,2003,"Phoenixville, PA",USA,"6'0""",174,L
John,McNelis,Boston Univ.,26,F,20,2006,"Potomac, MD",USA,"5'10""",165,L
Ben,Merrill,Boston Univ.,25,F,20,2005,"Hingham, MA",USA,"6'4""",205,R
Jonathan,Morello,Boston Univ.,10,F,19,2006,"Toronto, ON",Canada,"6'2""",192,L
Jack,Murtagh,Boston Univ.,19,F,18,2007,"East Greenbush, NY",USA,"6'1""",198,L
Ryder,Ritchie,Boston Univ.,21,F,19,2006,"Calgary, AB",Canada,"6'2""",190,R
Nick,Roukounakis,Boston Univ.,7,F,22,2003,"Pembroke, MA",USA,"6'2""",229,L
Brandon,Svoboda,Boston Univ.,8,F,21,2005,"Level Green, PA",USA,"6'3""",209,R
Cole,Moore,Bowling Green State Univ.,34,G,22,2003,"Toronto, ON",Canada,"6'6""",201,L
Tyler,Palmer,Bowling Green State Univ.,31,G,22,2003,"Fernie, BC",Canada,"6'0""",192,L
Jacob,Steinman,Bowling Green State Univ.,1,G,21,2004,"Cambridge, ON",Canada,"6'1""",183,L
Jack,Blake,Bowling Green State Univ.,26,D,24,2001,"Manhattan Beach, CA",USA,"6'1""",190,L
Brayden,Crampton,Bowling Green State Univ.,25,D,21,2004,"Chilliwack, BC",Canada,"6'0""",174,R
Ty,Higgins,Bowling Green State Univ.,3,D,21,2004,"Stratford, ON",Canada,"6'1""",183,R
Ivan,Korodiuk,Bowling Green State Univ.,21,D,22,2004,Kyiv,Ukraine,"6'4""",194,L
Brian,Lonergan,Bowling Green State Univ.,4,D,20,2005,"Montvale, NJ",USA,"5'11""",174,R
Breck,McKinley,Bowling Green State Univ.,17,D,22,2003,"St. Albert, AB",Canada,"5'10""",174,R
Dalton,Norris,Bowling Green State Univ.,14,D,24,2001,"Oxford, MI",USA,"5'10""",183,L
Rihards,Simanovics,Bowling Green State Univ.,7,D,22,2003,Riga,Latvia,"6'3""",205,L
Gustav,Stjernberg,Bowling Green State Univ.,5,D,23,2002,Enebyberg,Sweden,"6'4""",209,R
Ben,Doran,Bowling Green State Univ.,23,F,23,2003,"Chesterfield, MO",USA,"5'11""",181,R
Quinn,Emerson,Bowling Green State Univ.,18,F,24,2001,"Manhattan Beach, CA",USA,"6'0""",185,R
Jaden,Grant,Bowling Green State Univ.,28,F,23,2002,"White Lake, MI",USA,"6'2""",192,L
Tyler,Hotson,Bowling Green State Univ.,24,F,22,2003,"Stratford, ON",Canada,"5'11""",181,L
Connor,Levis,Bowling Green State Univ.,20,F,21,2004,"Vancouver, BC",Canada,"6'1""",192,R
Max,Martin,Bowling Green State Univ.,15,F,22,2003,"Tawas City, MI",USA,"6'0""",185,L
Jérémie,Minville,Bowling Green State Univ.,8,F,21,2004,"Drummondville, QC",Canada,"6'0""",183,L
Noah,Morneau,Bowling Green State Univ.,11,F,21,2004,"Riverside, ON",Canada,"6'0""",183,L
Jackson,Niedermayer,Bowling Green State Univ.,12,F,24,2001,"Newport Beach, CA",USA,"6'0""",201,L
Brett,Pfoh,Bowling Green State Univ.,13,F,24,2002,"Port Moody, BC",Canada,"5'11""",190,L
Dominik,Rymon,Bowling Green State Univ.,77,F,21,2004,Karlovy Vary,Czechia,"5'10""",157,L
Tanner,Scott,Bowling Green State Univ.,22,F,21,2004,"Sherwood Park, AB",Canada,"5'8""",176,L
Jake,Sloan,Bowling Green State Univ.,16,F,22,2004,Girvan,Canada,"6'4""",214,R
Brody,Waters,Bowling Green State Univ.,29,F,23,2002,"Heidelberg, ON",Canada,"6'2""",203,R
Brandon,Whynott,Bowling Green State Univ.,27,F,21,2004,"Langley, BC",Canada,"6'1""",185,L
Adam,Zlnka,Bowling Green State Univ.,10,F,21,2004,Detva,Slovakia,"6'0""",179,R
Freddie,Halyk,Brown Univ.,1,G,22,2003,"Cochrane, AB",Canada,"6'6""",220,L
Ryan,Kazmouz,Brown Univ.,31,G,22,2003,"Livonia, MI",USA,"6'0""",170,L
Tyler,Shea,Brown Univ.,35,G,24,2001,"Stevenson Ranch, CA",USA,"6'0""",179,L
Ashton,Bynum,Brown Univ.,10,D,21,2004,"Tulsa, OK",USA,"6'4""",201,L
Matthew,Desiderio,Brown Univ.,24,D,20,2005,"North Caldwell, NJ",USA,"6'3""",209,L
Owen,Dyer,Brown Univ.,16,D,21,2004,"Clarkston, MI",USA,"6'3""",225,R
Jack,Hewitt,Brown Univ.,27,D,22,2003,"Toronto, ON",Canada,"6'0""",185,R
Ethan,Mistry,Brown Univ.,22,D,23,2003,"Toronto, ON",Canada,"5'10""",174,L
Alex,Pineau,Brown Univ.,3,D,23,2003,"Thunder Bay, ON",Canada,"6'3""",216,R
Leo,Schwartz,Brown Univ.,26,D,21,2004,"New York, NY",USA,"6'0""",174,R
Nick,Traggio,Brown Univ.,5,D,24,2001,"Sharon, CT",USA,"6'2""",209,L
Tristan,Zarsky,Brown Univ.,2,D,23,2003,"Edmonton, AB",Canada,"6'3""",216,R
Dean,Bauchiero,Brown Univ.,18,F,23,2002,"Southington, CT",USA,"6'4""",216,L
Matthew,Brille,Brown Univ.,19,F,23,2003,"Bethesda, MD",USA,"5'10""",179,R
Matthew,Cataldo,Brown Univ.,21,F,20,2005,"Norfolk, MA",USA,"6'0""",205,L
Michael,Cataldo,Brown Univ.,17,F,22,2003,"Norfolk, MA",USA,"6'1""",201,R
Charlie,Gollob,Brown Univ.,15,F,22,2004,"Toronto, ON",Canada,"6'2""",201,L
Tanner,Hartman,Brown Univ.,28,F,24,2001,"Chicago, IL",USA,"6'0""",190,R
Andrew,King,Brown Univ.,29,F,22,2003,"Dubuque, IA",USA,"6'0""",170,L
Brian,Nicholas,Brown Univ.,55,F,20,2005,"Scarsdale, NY",USA,"6'1""",192,L
